image_block,marker_cells,unlabelled_cells,total_cells
CD3.svs__1_11960_17940,186,1423,1609
CD3.svs__1_11960_20930,259,2134,2393
CD3.svs__1_11960_23920,244,2873,3117
CD3.svs__1_11960_26910,365,2589,2954
CD3.svs__1_11960_29900,78,353,431
CD3.svs__1_14950_14950,43,47,90
CD3.svs__1_14950_17940,200,2448,2648
CD3.svs__1_14950_20930,262,2502,2764
CD3.svs__1_14950_23920,259,2399,2658
CD3.svs__1_14950_26910,337,2734,3071
CD3.svs__1_14950_29900,158,756,914
CD3.svs__1_17940_14950,130,795,925
CD3.svs__1_17940_17940,241,2753,2994
CD3.svs__1_17940_20930,306,2580,2886
CD3.svs__1_17940_23920,292,2569,2861
CD3.svs__1_17940_26910,355,2695,3050
CD3.svs__1_17940_29900,182,1186,1368
CD3.svs__1_20930_14950,205,1471,1676
CD3.svs__1_20930_17940,304,2685,2989
CD3.svs__1_20930_20930,324,2888,3212
CD3.svs__1_20930_23920,271,2712,2983
CD3.svs__1_20930_26910,335,2631,2966
CD3.svs__1_20930_29900,153,723,876
CD3.svs__1_23920_11960,55,30,85
CD3.svs__1_23920_14950,216,2163,2379
CD3.svs__1_23920_17940,326,2613,2939
CD3.svs__1_23920_20930,326,2796,3122
CD3.svs__1_23920_23920,257,2556,2813
CD3.svs__1_23920_26910,335,2450,2785
CD3.svs__1_23920_29900,144,652,796
CD3.svs__1_26910_11960,98,847,945
CD3.svs__1_26910_14950,216,3024,3240
CD3.svs__1_26910_17940,256,2582,2838
CD3.svs__1_26910_20930,223,2590,2813
CD3.svs__1_26910_23920,237,2737,2974
CD3.svs__1_26910_26910,331,2300,2631
CD3.svs__1_26910_29900,108,435,543
CD3.svs__1_2990_20930,163,744,907
CD3.svs__1_2990_23920,20,122,142
CD3.svs__1_2990_26910,7,0,7
CD3.svs__1_29900_11960,117,2003,2120
CD3.svs__1_29900_14950,110,2504,2614
CD3.svs__1_29900_17940,182,2592,2774
CD3.svs__1_29900_20930,210,2549,2759
CD3.svs__1_29900_23920,265,2585,2850
CD3.svs__1_29900_26910,351,1699,2050
CD3.svs__1_29900_29900,5,13,18
CD3.svs__1_32890_11960,83,2443,2526
CD3.svs__1_32890_14950,118,3051,3169
CD3.svs__1_32890_17940,152,2594,2746
CD3.svs__1_32890_20930,289,2652,2941
CD3.svs__1_32890_23920,306,2665,2971
CD3.svs__1_32890_26910,283,1194,1477
CD3.svs__1_32890_8970,71,89,160
CD3.svs__1_35880_11960,171,3075,3246
CD3.svs__1_35880_14950,130,3160,3290
CD3.svs__1_35880_17940,173,2603,2776
CD3.svs__1_35880_20930,180,2794,2974
CD3.svs__1_35880_23920,316,2413,2729
CD3.svs__1_35880_26910,25,111,136
CD3.svs__1_35880_8970,130,858,988
CD3.svs__1_38870_11960,246,2815,3061
CD3.svs__1_38870_14950,204,2674,2878
CD3.svs__1_38870_17940,171,1818,1989
CD3.svs__1_38870_20930,235,2670,2905
CD3.svs__1_38870_23920,263,1575,1838
CD3.svs__1_38870_26910,1,0,1
CD3.svs__1_38870_8970,174,2085,2259
CD3.svs__1_41860_11960,432,2705,3137
CD3.svs__1_41860_14950,314,2721,3035
CD3.svs__1_41860_17940,141,3019,3160
CD3.svs__1_41860_20930,182,2141,2323
CD3.svs__1_41860_23920,51,253,304
CD3.svs__1_41860_26910,0,3,3
CD3.svs__1_41860_5980,122,366,488
CD3.svs__1_41860_8970,493,2715,3208
CD3.svs__1_44850_11960,538,2605,3143
CD3.svs__1_44850_14950,223,2809,3032
CD3.svs__1_44850_17940,206,2704,2910
CD3.svs__1_44850_20930,65,324,389
CD3.svs__1_44850_5980,649,1378,2027
CD3.svs__1_44850_8970,904,2155,3059
CD3.svs__1_47840_11960,664,2511,3175
CD3.svs__1_47840_14950,292,2873,3165
CD3.svs__1_47840_17940,237,940,1177
CD3.svs__1_47840_2990,173,241,414
CD3.svs__1_47840_5980,1158,1779,2937
CD3.svs__1_47840_8970,1061,1991,3052
CD3.svs__1_50830_11960,600,2591,3191
CD3.svs__1_50830_14950,311,1896,2207
CD3.svs__1_50830_17940,8,0,8
CD3.svs__1_50830_2990,762,902,1664
CD3.svs__1_50830_5980,1298,1599,2897
CD3.svs__1_50830_8970,1038,2064,3102
CD3.svs__1_53820_0,78,86,164
CD3.svs__1_53820_11960,401,2831,3232
CD3.svs__1_53820_14950,201,516,717
CD3.svs__1_53820_2990,1263,1557,2820
CD3.svs__1_53820_5980,1448,1478,2926
CD3.svs__1_53820_8970,888,2157,3045
CD3.svs__1_56810_0,531,615,1146
CD3.svs__1_56810_11960,378,2050,2428
CD3.svs__1_56810_14950,1,0,1
CD3.svs__1_56810_2990,1383,1491,2874
CD3.svs__1_56810_41860,80,218,298
CD3.svs__1_56810_44850,23,2,25
CD3.svs__1_56810_47840,6,0,6
CD3.svs__1_56810_5980,1325,1542,2867
CD3.svs__1_56810_8970,673,2140,2813
CD3.svs__1_5980_17940,70,69,139
CD3.svs__1_5980_20930,265,2037,2302
CD3.svs__1_5980_23920,295,1526,1821
CD3.svs__1_5980_26910,75,256,331
CD3.svs__1_59800_0,867,1149,2016
CD3.svs__1_59800_11960,91,288,379
CD3.svs__1_59800_2990,1650,1320,2970
CD3.svs__1_59800_35880,36,4,40
CD3.svs__1_59800_38870,49,155,204
CD3.svs__1_59800_41860,274,862,1136
CD3.svs__1_59800_44850,308,1463,1771
CD3.svs__1_59800_47840,271,1217,1488
CD3.svs__1_59800_50830,122,204,326
CD3.svs__1_59800_5980,1130,1928,3058
CD3.svs__1_59800_8970,707,2192,2899
CD3.svs__1_62790_0,1359,897,2256
CD3.svs__1_62790_26910,2,0,2
CD3.svs__1_62790_2990,2012,905,2917
CD3.svs__1_62790_29900,99,338,437
CD3.svs__1_62790_32890,1,1,2
CD3.svs__1_62790_35880,341,918,1259
CD3.svs__1_62790_38870,467,1189,1656
CD3.svs__1_62790_41860,709,1868,2577
CD3.svs__1_62790_44850,633,1721,2354
CD3.svs__1_62790_47840,541,1589,2130
CD3.svs__1_62790_50830,83,7,90
CD3.svs__1_62790_5980,1308,1303,2611
CD3.svs__1_62790_8970,334,292,626
CD3.svs__1_65780_0,2252,264,2516
CD3.svs__1_65780_23920,29,1,30
CD3.svs__1_65780_26910,139,637,776
CD3.svs__1_65780_2990,1987,891,2878
CD3.svs__1_65780_29900,333,1182,1515
CD3.svs__1_65780_32890,76,216,292
CD3.svs__1_65780_35880,397,1535,1932
CD3.svs__1_65780_38870,385,2761,3146
CD3.svs__1_65780_41860,603,2379,2982
CD3.svs__1_65780_44850,232,1461,1693
CD3.svs__1_65780_47840,28,347,375
CD3.svs__1_65780_5980,414,491,905
CD3.svs__1_68770_0,1657,57,1714
CD3.svs__1_68770_20930,39,84,123
CD3.svs__1_68770_23920,148,595,743
CD3.svs__1_68770_26910,307,1422,1729
CD3.svs__1_68770_2990,1721,434,2155
CD3.svs__1_68770_29900,416,1890,2306
CD3.svs__1_68770_32890,518,2014,2532
CD3.svs__1_68770_35880,456,1018,1474
CD3.svs__1_68770_38870,650,2040,2690
CD3.svs__1_68770_41860,191,858,1049
CD3.svs__1_71760_0,140,26,166
CD3.svs__1_71760_17940,56,178,234
CD3.svs__1_71760_20930,235,635,870
CD3.svs__1_71760_23920,532,2495,3027
CD3.svs__1_71760_26910,446,2461,2907
CD3.svs__1_71760_2990,55,15,70
CD3.svs__1_71760_29900,461,2372,2833
CD3.svs__1_71760_32890,608,2226,2834
CD3.svs__1_71760_35880,599,1654,2253
CD3.svs__1_71760_38870,329,1050,1379
CD3.svs__1_71760_41860,3,0,3
CD3.svs__1_74750_17940,108,89,197
CD3.svs__1_74750_20930,453,1462,1915
CD3.svs__1_74750_23920,490,2290,2780
CD3.svs__1_74750_26910,478,1923,2401
CD3.svs__1_74750_29900,612,2405,3017
CD3.svs__1_74750_32890,524,1693,2217
CD3.svs__1_74750_35880,92,251,343
CD3.svs__1_77740_20930,86,622,708
CD3.svs__1_77740_23920,184,1103,1287
CD3.svs__1_77740_26910,261,1020,1281
CD3.svs__1_77740_29900,204,648,852
CD3.svs__1_77740_32890,22,44,66
CD3.svs__1_8970_17940,137,881,1018
CD3.svs__1_8970_20930,208,1905,2113
CD3.svs__1_8970_23920,353,2415,2768
CD3.svs__1_8970_26910,261,1582,1843
CD3.svs__1_8970_29900,4,3,7
summary,69387,275562,344949
